12XHHW-2SIS,[]
SEA NM-32-BK,['https://www.remke.com/products/rlm32-gy-locknut-nylon-m32-gray/']
GRC 012,['https://www.platt.com/platt-electric-supply/Conduit-Straight-Steel-Rigid-Conduit/Multiple/112R/product.aspx?zpid=65824']
6-7MHDBC,[]
HARTING 09330242601,"['https://www.empirewc.com/collections/harting/products/ht-0933-024-2601', 'https://www.ebay.ca/itm/Harting-09-33-024-2601-Male-Cable-Plug-with-Aux-Contact-blk-09330242601-NEW-/201077977208']"
12/3SO,"['https://www.platt.com/platt-electric-supply/Rubber-Cord-SOOW-90-/Multiple/123SOX250C/product.aspx?zpid=53831', 'https://www.ebay.com/itm/250-ft-Portable-Cord-Conductors-3-Wire-Size-12-AWG-Jacket-Type-SOOW-/283176557413', 'https://www.rexelusa.com/p/681901/general-cable/12-3-so-soow-copper-250/079407027255/0272585t1']"
16TFFNBLU25,"['https://www.platt.com/platt-electric-supply/TFFN-Copper-Standed-Stranded-16-AWG/Multiple/16TFFNSTRLTBLUX250/product.aspx?zpid=714881', 'https://www.walterswholesale.com/tffn-16-blu-str-2500r-stranded-copper-tffn-cable-16-awg-2500-ft-reel-blue-61855']"
HON 24001660-137,[]
DUR PC1604,"['https://www.batteryjunction.com/pc-1604.html', 'https://www.1000bulbs.com/product/117321/DURACELL-PC1604BKD.html', 'https://www.energyavenue.com/Duracell/PC1604', 'https://www.ebay.com/p/850497952', 'https://publicsafetycenter.com/duracell-procell-pc1604-9volt-alkaline-battery.html']"
10THHNBLU,"['https://www.frommelectric.com/3074481/p/n/generic-thhn-600-vac-1-10-awg-stranded-copper-conductor-500-ft-spoolreel-l-blue', 'https://www.mainelectricsupply.com/itemdetail/10BLKSTR']"
MPH BOLT-STAPLESETEZPACK,[]
12THHNGRY,['https://www.frommelectric.com/3086839/p/n/generic-thhn-building-wire-600-vac-1-12-awg-stranded-copper-conductor-500-ft-spoolreel-l-green']
GRC 112XCLS,[]
3/0THHNBLK,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-3-0-AWG/Multiple/3ATHHNCSTRBLAX1000/product.aspx?zpid=70183', 'https://www.elliottelectric.com/P/Item/COP/THHN30BK1000/', 'https://www.amazon.com/1000-ft-Stranded-THHN-Cable/dp/B00FN6NIBY', 'https://www.springfieldelectric.com/d/Copper-Wire-THNX000/87419']"
TCNH14/5T,[]
12THHNWHT,"['https://www.mainelectricsupply.com/itemdetail/12WHTSOL', 'https://www.frommelectric.com/3074830/p/n/generic-thhn-600-vac-1-12-awg-stranded-copper-conductor-500-ft-spoolreel-l-white']"
TCNH14/3T,[]
TCNH14/7T,[]
16/2PR SP/OS AIA,[]
14THHNGRN,['https://www.frommelectric.com/3086839/p/n/generic-thhn-building-wire-600-vac-1-12-awg-stranded-copper-conductor-500-ft-spoolreel-l-green']
14THHNORG,[]
BEL 8760,['https://www.ebay.ca/sch/i.html?_sacat=0&_ssc=1&_nkw=belden+awg']
14THHNYEL,['https://www.vikingelectric.com/product/detail/THHN-Copper-WIC-THHN-14-STR-GRN-YEL-500R/?s=69032']
TYT T150LL-0X2,[]
14THHNBRN,[]
ABB 1SNA645012R2500,"['https://shop.glasupply.com/buy/product/1SNA645012R2500-ABB-R600-TERMINAL/2574463', 'https://www.alliedelec.com/abb-1sna645012r2500/70094761/']"
16/3SO,['https://www.platt.com/platt-electric-supply/Rubber-Cord-SOOW-90-/Multiple/163SOX250C/product.aspx?zpid=69391']
6SOLSDBC,[]
10RHHRHWGRN,[]
ING 30562664,[]
WEI 1609860000,"['https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Terminal-Blocks/Marking-Cards-%26-Strips/Terminal-Marking-Cards---Blanks/Weidmuller-1609860000-Terminal-Block%2C-Marker%2C-12mm-x-5mm%2C-White%2C-Fits-Allen-Bradley/p/117476', 'https://www.amazon.com/WEIDMULLER-1609860000-TERMINAL-MARKER-PACK-720/dp/B00DK88PHE']"
WEI 128347000,[]
TCNH12/5T,[]
ENT 11511607,"['https://www.platt.com/platt-electric-supply/Feed-Through-Ground-Blocks-Terminal-4mm-Spacing/Entrelec/0115-116-07/product.aspx?zpid=20066', 'https://www.rexelusa.com/usr/Root-Category/Control%2C-Automation/Terminal-Blocks/Feed-Through-%26-Ground-Blocks/Terminal-Blocks---4mm-Spacing/Entrelec-011511607-Terminal-Block%2C-Feed-Through%2C-M-4-6%2C-6mm%2C-Gray%2C-Screw-Clamp/p/144562']"
GRC 034,"['https://www.platt.com/platt-electric-supply/Conduit-Straight-Steel-Rigid-Conduit/Multiple/34R/product.aspx?zpid=65976', 'https://www.elliottelectric.com/P/Item/CON/GAL34/', 'https://www.reynoldsonline.com/ASSETS/DOCUMENTS/ITEMS/EN/CAT1401R1_ATCE_Conduit_Catalog.pdf']"
12THHNPUR,"['https://www.mainelectricsupply.com/itemdetail/12PURSTR', 'https://www.frommelectric.com/3086839/p/n/generic-thhn-building-wire-600-vac-1-12-awg-stranded-copper-conductor-500-ft-spoolreel-l-green']"
BRA XPS375-CONT,"['https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/idxpert-permasleeve-polyolefin-wire-marking-sleeves-pid-xps-375-cont', 'https://www.amazon.com/BRADY-XPS-375-CONT-HEAT-SHRINKABLE-MARKER-SLEEVES/dp/B00H7SF67U', 'https://www.elliottelectric.com/P/Item/BRA/M187075342/', 'https://www.mc-mc.com/ASSETS/DOCUMENTS/ITEMS/EN/Brady_JET_29_117_3_Brochure.pdf']"
BRA XPS-125-CONT,"['https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/idxpert-permasleeve-polyolefin-wire-marking-sleeves-pid-xps-125-cont', 'https://www.bradyid.com/wire-cable-labels/heat-shrink-sleeves/idxpert-permasleeve-polyolefin-wire-marking-sleeves-pid-xps-125-cont-yl-bk', 'https://www.amazon.com/Brady-IDXPERT-PermaSleeve-Heat-Shrink-Polyolefin/dp/B008BUAM7M', 'https://www.rshughes.com/p/Brady-Permasleeve-XPS-125-CONT-YL-BK-Black-On-Yellow-Polyolefin-Die-Cut-Thermal-Transfer-Printer-Sleeve-1-015-In-Width-0-235-In-Height-0-047-In-Min-Wire-Dia-To-0-11-In-Max-Wire-Dia-B-342/662820_60530/']"
12THHNBLK,['https://www.mainelectricsupply.com/itemdetail/12BLKSTR']
SIE 6EP1333-2BA20,"['https://mall.industry.siemens.com/mall/en/ww/Catalog/Product/6EP1333-2BA20', 'https://www.springfieldelectric.com/d/Siemens-6EP13332BA20/2550129', 'https://www.electricautomationnetwork.com/en/siemens/6ep1333-2ba20-6ep13332ba20-siemens-sitop-psu100s-24-v-5-a-stabilized-power-supply-input-120-230-v-ac-output-']"
RAY 806,['https://www.ebay.com/itm/Rayovac-Ultra-Pro-6V-Lantern-Battery-No-806-Ray-O-Vac-/162039891943']
12MTWBLK,['https://www.empirewc.com/products/mtw-12g-01']
PAC TRCF5,"['https://www.amazon.com/Titan-TRCFD505-Rated-Motor-Capacitor/dp/B01IC20TUS', 'https://www.packardonline.com/products/trcf5/']"
10/4SO,"['https://www.platt.com/platt-electric-supply/Rubber-Cord-SOOW-90-/Multiple/104SOX250C/product.aspx?zpid=53766', 'https://www.rexelusa.com/usr/Root-Category/Wire%2C-Cable%2C-Cord/Portable-Cord-%26-Cable/Rubber-Cord/SOOW---90%C2%B0/Multiple-SOWASO104BLK250RL-10-4-SO-SOWA-Cord%2C-Black%2C-250%27/p/60432', 'https://shop.kendallelectric.com/buy/product/10-4-SOOW-BLACK-250-REEL-715OD/61033']"
MOL 03-06-1032,"['https://www.molex.com/molex/products/part-detail/crimp_housings/0003061032', 'https://www.ebay.com/itm/LOT-of-300-Molex-Connector-03-06-1032-3-Position-Housing-/362321877786']"
EFX BR10-250,"['https://www.sloan.com/commercial-bathroom-products/faucets/basys/efx-250', 'https://www.amazon.com/COUNTER-STRIKE-250-FOOT-SPOOL/dp/B01EZ6P38S']"
NOR 29604000,[]
6/4SO,['https://www.platt.com/platt-electric-supply/Rubber-Cord-SOOW-90-/Multiple/64SOX250C/product.aspx?zpid=69400']
