DWY 2001LT,[]
PEC 14X1HBSS,"['https://www.elliottelectric.com/P/Item/PEC/14X1HBSS/', 'https://www.elliottelectric.com/P/Item/PEC/14X1HBSSFT/', 'https://www.turtle.com/1908929/Product/peco-14x1hbss', 'https://www.turtle.com/9386/Manufacturer/peco-fasteners', 'https://www.amazon.com/Pieces-Stainless-Steel-KINJOEK-Fastener/dp/B07WF7WZQW']"
PEC 14FHNUSSZJ,"['https://www.elliottelectric.com/P/Item/PEC/14FHNUSSZJ/', 'https://www.gordonelectricsupply.com/p/Peco-14Fhnusszj-1-4-20-Finished-Hex-Nut-Uss-Zinc-100/6495407', 'https://www.interstate-electrical.com/buy/product/14fhnusszj/4219', 'https://www.amazon.com/Peco-Fastener-14FHNUSSZJ-Plated-Carbon/dp/B07BB3HW53']"
WER 6208,['https://www.randhfarmandhome.com/shop/paint-and-painting-supplies/ladders-and-scaffolding/ladders/step-ladder/werner-8-ft-fiberglass-step-ladder-with-300-lb-load-capacity-type-ia-ladder-rating?SKU=778281']
500THHNBLK,"['https://www.gordonelectricsupply.com/p/thhn-500mcm-str-blk-cut-reel-1000-southwire-20513801/17669', 'https://www.elliottelectric.com/P/Item/COP/THHN500BK1000/', 'https://www.southwire.com/wire-cable/building-wire/simpull-thhn-copper-wire/p/20513801', 'https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-500-MCM/Multiple/500THHNCSTRBLA500/product.aspx?zpid=70194']"
TCNH10/4T,[]
IDL 45-120,"['https://www.markertek.com/product/idl-45-120/ideal-45-120-t-5-wire-stripper', 'https://www.amazon.com/Ideal-45-120-Stripper-10%C3%9018-Stranded/dp/B000JKWVXA', 'https://www.nulite.com/index.jsp?path=product&part=11883&ds=dept&process=search&qdx=0&ID=%2CTOOLS%2CSTRIPPING.TOOLS%2Cdept-21Y', 'https://jbjsupply.com/ideal-45-120-wire-stripper-10-20-awg/']"
2THHNGRN,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-2-AWG/Multiple/2THHNCSTRGREX1000/product.aspx?zpid=62710', 'https://www.elliottelectric.com/P/Item/COP/THHN2GN1000/']"
12THHNRED,"['https://www.platt.com/platt-electric-supply/THHN-Copper-Stranded-12-AWG/Multiple/12THHNCSTRREDX500/product.aspx?zpid=62643', 'https://www.kirbyrisk.com/thhn-tffn-mtw-srml/']"
SIE 5SY5210-7,"['https://www.electricautomationnetwork.com/en/siemens/5sy5210-7-5sy52107-siemens-circuit-breaker-curr-sens-dc-440v-ac-400v-10ka-2-pole-c-10a', 'https://mall.industry.siemens.com/mall/en/WW/Catalog/Product/5SY5210-7', 'https://www.ebay.com/p/23037987662', 'https://www.kempstoncontrols.co.uk/5SY5210-7/Siemens/sku/67637']"
16TFFNYEL,"['https://cdn.automationdirect.com/static/specs/wiretffn.pdf', 'https://www.vikingelectric.com/product/detail/TFF-TFFN-Wire-TFFN-16-STR-YEL-500R/?s=55591']"
16TFFNGRN,['https://www.southwire.com/wire-cable/building-wire/copper-tffn-tfn-tewn/p/27036301']
EVR A76BP,
10MTWRED,[]
